(1515063600000,[(5a4e77e77c459f29e79b250b,730), (5a4e76657c459f29e79b21da,637), (5a4e76e67c459f29e79b22ba,615)])
(1515067200000,[(5a4e77e77c459f29e79b250b,744), (5a4ea68b7c459f29e79b258b,658), (5a4e76657c459f29e79b21da,603)])
(1515070800000,[(5a4e77e77c459f29e79b250b,759), (5a4ea68b7c459f29e79b258b,750), (5a4ec8927c459f29e79b25e2,664)])
(1515074400000,[(5a4ea68b7c459f29e79b258b,878), (5a4e77e77c459f29e79b250b,774), (5a4ec8927c459f29e79b25e2,758)])
(1515078000000,[(5a4ea68b7c459f29e79b258b,1013), (5a4ec8927c459f29e79b25e2,901), (5a4e77e77c459f29e79b250b,792)])
(1515081600000,[(5a4ea68b7c459f29e79b258b,1159), (5a4ec8927c459f29e79b25e2,1016), (5a4e77e77c459f29e79b250b,805)])
(1515085200000,[(5a4ea68b7c459f29e79b258b,1292), (5a4ec8927c459f29e79b25e2,1122), (5a4f57407c459f29e79b26e8,835)])
(1515088800000,[(5a4ea68b7c459f29e79b258b,1396), (5a4ec8927c459f29e79b25e2,1207), (5a4f57407c459f29e79b26e8,1014)])
(1515092400000,[(5a4ea68b7c459f29e79b258b,1464), (5a4ec8927c459f29e79b25e2,1279), (5a4f57407c459f29e79b26e8,1159)])
(1515096000000,[(5a4ea68b7c459f29e79b258b,1512), (5a4ec8927c459f29e79b25e2,1362), (5a4f57407c459f29e79b26e8,1257)])
(1515099600000,[(5a4ea68b7c459f29e79b258b,1555), (5a4ec8927c459f29e79b25e2,1407), (5a4f57407c459f29e79b26e8,1324)])
(1515103200000,[(5a4ea68b7c459f29e79b258b,1592), (5a4ec8927c459f29e79b25e2,1447), (5a4f57407c459f29e79b26e8,1372)])
(1515106800000,[(5a4ea68b7c459f29e79b258b,1612), (5a4ec8927c459f29e79b25e2,1497), (5a4f57407c459f29e79b26e8,1409)])
(1515110400000,[(5a4ea68b7c459f29e79b258b,1626), (5a4ec8927c459f29e79b25e2,1515), (5a4f57407c459f29e79b26e8,1431)])
(1515114000000,[(5a4ea68b7c459f29e79b258b,1641), (5a4ec8927c459f29e79b25e2,1515), (5a4f57407c459f29e79b26e8,1454)])
(1515117600000,[(5a4ea68b7c459f29e79b258b,1553), (5a4ec8927c459f29e79b25e2,1515), (5a4f57407c459f29e79b26e8,1463)])
(1515121200000,[(5a4f57407c459f29e79b26e8,1463), (5a4ea68b7c459f29e79b258b,1458), (5a4ec8927c459f29e79b25e2,1393)])
(1515124800000,[(5a4f57407c459f29e79b26e8,1463), (5a4ea68b7c459f29e79b258b,1359), (5a4ec8927c459f29e79b25e2,1297)])
(1515128400000,[(5a4f57407c459f29e79b26e8,1463), (5a4ea68b7c459f29e79b258b,1260), (5a4ec8927c459f29e79b25e2,1188)])
(1515132000000,[(5a4f57407c459f29e79b26e8,1463), (5a4ea68b7c459f29e79b258b,1205), (5a4fc38a7c459f29e79b2800,1134)])
(1515135600000,[(5a4f57407c459f29e79b26e8,1463), (5a4ea68b7c459f29e79b258b,1170), (5a4fc38a7c459f29e79b2800,1162)])
(1515139200000,[(5a4f57407c459f29e79b26e8,1463), (5a4fc38a7c459f29e79b2800,1185), (5a4ea68b7c459f29e79b258b,1145)])
(1515142800000,[(5a4f57407c459f29e79b26e8,1463), (5a4fc38a7c459f29e79b2800,1209), (5a4ea68b7c459f29e79b258b,1125)])
(1515146400000,[(5a4f57407c459f29e79b26e8,1463), (5a4fc38a7c459f29e79b2800,1220), (5a4ea68b7c459f29e79b258b,1095)])
(1515150000000,[(5a4f57407c459f29e79b26e8,1463), (5a4fc38a7c459f29e79b2800,1246), (5a4ea68b7c459f29e79b258b,1049)])
(1515153600000,[(5a4f57407c459f29e79b26e8,1427), (5a4fc38a7c459f29e79b2800,1277), (5a4ea68b7c459f29e79b258b,990)])
(1515157200000,[(5a4f57407c459f29e79b26e8,1348), (5a4fc38a7c459f29e79b2800,1340), (5a4ea68b7c459f29e79b258b,898)])
(1515160800000,[(5a4fc38a7c459f29e79b2800,1415), (5a4f57407c459f29e79b26e8,1231), (5a4fb89b7c459f29e79b27d8,906)])
(1515164400000,[(5a4fc38a7c459f29e79b2800,1473), (5a4f57407c459f29e79b26e8,1067), (5a4fb89b7c459f29e79b27d8,925)])
(1515168000000,[(5a4fc38a7c459f29e79b2800,1536), (5a4fb89b7c459f29e79b27d8,925), (5a4f57407c459f29e79b26e8,866)])
(1515171600000,[(5a4fc38a7c459f29e79b2800,1550), (5a4fb89b7c459f29e79b27d8,925), (5a4fc7717c459f29e79b280d,800)])
(1515175200000,[(5a4fc38a7c459f29e79b2800,1550), (5a4fb89b7c459f29e79b27d8,925), (5a4fc7717c459f29e79b280d,865)])
(1515178800000,[(5a4fc38a7c459f29e79b2800,1547), (5a4fc7717c459f29e79b280d,913), (5a4fb89b7c459f29e79b27d8,820)])
(1515182400000,[(5a4fc38a7c459f29e79b2800,1233), (5a4fc7717c459f29e79b280d,936), (5a4fb89b7c459f29e79b27d8,633)])
(1515186000000,[(5a4fc38a7c459f29e79b2800,1010), (5a4fc7717c459f29e79b280d,918), (5a4fd95d7c459f29e79b2846,528)])
