(1521244800000,[(5a8fe63410f40f00018c2971,22), (5a7adc3810f40f00018bff64,8), (5a8416b910f40f00018c0e9b,8)])
(1521331200000,[(5a8fe63410f40f00018c2971,26), (5a7adc3810f40f00018bff64,11), (5a8416b910f40f00018c0e9b,8)])
(1521417600000,[(5a8fe63410f40f00018c2971,31), (5a7adc3810f40f00018bff64,9), (5a8416b910f40f00018c0e9b,8)])
(1521504000000,[(5a8fe63410f40f00018c2971,39), (5a7adc3810f40f00018bff64,10), (5a8416b910f40f00018c0e9b,8)])
(1521590400000,[(5a8fe63410f40f00018c2971,59), (5a7adc3810f40f00018bff64,11), (5a8416b910f40f00018c0e9b,8)])
(1521676800000,[(5a8fe63410f40f00018c2971,71), (5a7adc3810f40f00018bff64,11), (5a8c461110f40f00018c1ffe,8)])
(1521763200000,[(5a8fe63410f40f00018c2971,77), (5a7adc3810f40f00018bff64,10), (5a8c461110f40f00018c1ffe,8)])
(1521849600000,[(5a8fe63410f40f00018c2971,58), (5a8c461110f40f00018c1ffe,9), (5a7adc3810f40f00018bff64,9)])
(1521936000000,[(5a8fe63410f40f00018c2971,58), (5a8c461110f40f00018c1ffe,9), (5a78394410f40f00018bf88c,7)])
(1522022400000,[(5a8fe63410f40f00018c2971,54), (5a8c461110f40f00018c1ffe,8), (5a7adc3810f40f00018bff64,8)])
(1522108800000,[(5a8fe63410f40f00018c2971,47), (5a8c461110f40f00018c1ffe,10), (5a78394410f40f00018bf88c,7)])
(1522195200000,[(5a8fe63410f40f00018c2971,30), (5a7adc3810f40f00018bff64,9), (5a8c461110f40f00018c1ffe,8)])
(1522281600000,[(5a8fe63410f40f00018c2971,19), (5a7adc3810f40f00018bff64,13), (5a8c461110f40f00018c1ffe,9)])
(1522368000000,[(5a8fe63410f40f00018c2971,18), (5a7adc3810f40f00018bff64,16), (5a8c461110f40f00018c1ffe,9)])
(1522454400000,[(5a7adc3810f40f00018bff64,22), (5a8fe63410f40f00018c2971,18), (5a8c461110f40f00018c1ffe,8)])
(1522540800000,[(5a7adc3810f40f00018bff64,23), (5a8fe63410f40f00018c2971,14), (5a8c461110f40f00018c1ffe,8)])
(1522627200000,[(5a7adc3810f40f00018bff64,21), (5a8fe63410f40f00018c2971,14), (5a90494210f40f00018c2afb,9)])
(1522713600000,[(5a7adc3810f40f00018bff64,20), (5a8fe63410f40f00018c2971,17), (5a90494210f40f00018c2afb,11)])
(1522800000000,[(5a7adc3810f40f00018bff64,19), (5a8fe63410f40f00018c2971,16), (5a90494210f40f00018c2afb,14)])
(1522886400000,[(5a90494210f40f00018c2afb,15), (5a8fe63410f40f00018c2971,14), (5a7adc3810f40f00018bff64,14)])
(1522972800000,[(5a90494210f40f00018c2afb,13), (5a7adc3810f40f00018bff64,10), (5a8fe63410f40f00018c2971,9)])
(1523059200000,[(5a90494210f40f00018c2afb,13), (5a8fe63410f40f00018c2971,9), (5a8c461110f40f00018c1ffe,8)])
(1523145600000,[(5a90494210f40f00018c2afb,11), (5a8c461110f40f00018c1ffe,9), (5a8fe63410f40f00018c2971,9)])
(1523232000000,[(5a90494210f40f00018c2afb,16), (5a8c461110f40f00018c1ffe,9), (5a8fe63410f40f00018c2971,8)])
(1523318400000,[(5a90494210f40f00018c2afb,14), (5a8c461110f40f00018c1ffe,9), (5a8fe63410f40f00018c2971,9)])
(1523404800000,[(5a90494210f40f00018c2afb,16), (5a8fe63410f40f00018c2971,10), (5a8c461110f40f00018c1ffe,9)])
