(1515117600000,[(5a4ec8927c459f29e79b25e2,122), (5a4ea68b7c459f29e79b258b,95), (5a4ecc887c459f29e79b25e7,31)])
(1515121200000,[(5a4ea68b7c459f29e79b258b,99), (5a4ec8927c459f29e79b25e2,96), (5a4ecc887c459f29e79b25e7,27)])
(1515124800000,[(5a4ec8927c459f29e79b25e2,109), (5a4ea68b7c459f29e79b258b,99), (5a4ecc887c459f29e79b25e7,25)])
(1515128400000,[(5a4ec8927c459f29e79b25e2,68), (5a4ea68b7c459f29e79b258b,55), (5a4ecc887c459f29e79b25e7,18)])
(1515132000000,[(5a4ea68b7c459f29e79b258b,35), (5a4ec8927c459f29e79b25e2,34), (5a4ecc887c459f29e79b25e7,14)])
(1515135600000,[(5a4ec8927c459f29e79b25e2,30), (5a4ea68b7c459f29e79b258b,25), (5a4e77e77c459f29e79b250b,7)])
(1515139200000,[(5a4ec8927c459f29e79b25e2,32), (5a4ea68b7c459f29e79b258b,20), (5a4e77e77c459f29e79b250b,8)])
(1515142800000,[(5a4ec8927c459f29e79b25e2,31), (5a4ea68b7c459f29e79b258b,30), (5a4ecc887c459f29e79b25e7,5)])
(1515146400000,[(5a4ea68b7c459f29e79b258b,46), (5a4ecc887c459f29e79b25e7,23), (5a4ec8927c459f29e79b25e2,17)])
(1515150000000,[(5a4ea68b7c459f29e79b258b,59), (5a4ec8927c459f29e79b25e2,50), (5a4f57407c459f29e79b26e8,36)])
(1515153600000,[(5a4ea68b7c459f29e79b258b,92), (5a4f57407c459f29e79b26e8,79), (5a4ec8927c459f29e79b25e2,75)])
(1515157200000,[(5a4ea68b7c459f29e79b258b,128), (5a4f57407c459f29e79b26e8,117), (5a4ec8927c459f29e79b25e2,94)])
(1515160800000,[(5a4f57407c459f29e79b26e8,164), (5a4ec8927c459f29e79b25e2,143), (5a4ea68b7c459f29e79b258b,135)])
(1515164400000,[(5a4f57407c459f29e79b26e8,201), (5a4ea68b7c459f29e79b258b,146), (5a4ec8927c459f29e79b25e2,115)])
(1515168000000,[(5a4f57407c459f29e79b26e8,238), (5a4ea68b7c459f29e79b258b,133), (5a4ec8927c459f29e79b25e2,106)])
(1515171600000,[(5a4f57407c459f29e79b26e8,179), (5a4ea68b7c459f29e79b258b,104), (5a4ec8927c459f29e79b25e2,85)])
(1515175200000,[(5a4f57407c459f29e79b26e8,145), (5a4fb89b7c459f29e79b27d8,105), (5a4ec8927c459f29e79b25e2,72)])
(1515178800000,[(5a4fc38a7c459f29e79b2800,314), (5a4fb89b7c459f29e79b27d8,187), (5a4f57407c459f29e79b26e8,98)])
(1515182400000,[(5a4fc38a7c459f29e79b2800,223), (5a4fb89b7c459f29e79b27d8,165), (5a4f57407c459f29e79b26e8,67)])
(1515186000000,[(5a4fc38a7c459f29e79b2800,150), (5a4fb89b7c459f29e79b27d8,116), (5a4fc7717c459f29e79b280d,68)])
(1515189600000,[(5a4fc38a7c459f29e79b2800,101), (5a4fb89b7c459f29e79b27d8,65), (5a4fc7717c459f29e79b280d,53)])
(1515193200000,[(5a4fc38a7c459f29e79b2800,64), (5a4fb89b7c459f29e79b27d8,40), (5a4fc7717c459f29e79b280d,30)])
(1515196800000,[(5a4fb89b7c459f29e79b27d8,56), (5a4fc38a7c459f29e79b2800,54), (5a4fc7717c459f29e79b280d,50)])
(1515200400000,[(5a4fc38a7c459f29e79b2800,38), (5a4fc7717c459f29e79b280d,37), (5a4fb89b7c459f29e79b27d8,35)])
(1515204000000,[(5a4fc38a7c459f29e79b2800,60), (5a4fb89b7c459f29e79b27d8,28), (5a4fc7717c459f29e79b280d,27)])
(1515207600000,[(5a4fc38a7c459f29e79b2800,51), (5a4fc7717c459f29e79b280d,31), (5a4fdc8f7c459f29e79b2853,29)])
(1515211200000,[(5a4fc38a7c459f29e79b2800,41), (5a4fc7717c459f29e79b280d,18), (5a4fd95d7c459f29e79b2846,17)])
(1515214800000,[(5a4fc38a7c459f29e79b2800,35), (5a4fc7717c459f29e79b280d,20), (5a4faf7d7c459f29e79b27c5,12)])
(1515218400000,[(5a4fc38a7c459f29e79b2800,28), (5a4fc7717c459f29e79b280d,18), (5a4f95217c459f29e79b277b,10)])
(1515222000000,[(5a4fc38a7c459f29e79b2800,23), (5a4fc7717c459f29e79b280d,18), (5a4faf7d7c459f29e79b27c5,9)])
(1515225600000,[(5a4fc38a7c459f29e79b2800,24), (5a4fc7717c459f29e79b280d,9), (5a4fb89b7c459f29e79b27d8,8)])
(1515229200000,[(5a5027db7c459f29e79b28f5,11), (5a4fc38a7c459f29e79b2800,11), (5a4faf7d7c459f29e79b27c5,10)])
(1515232800000,[(5a4fc38a7c459f29e79b2800,26), (5a4fc7717c459f29e79b280d,17), (5a5027db7c459f29e79b28f5,7)])
(1515236400000,[(5a4fc38a7c459f29e79b2800,31), (5a5027db7c459f29e79b28f5,19), (5a4faf7d7c459f29e79b27c5,18)])
(1515240000000,[(5a4fc38a7c459f29e79b2800,63), (5a5027db7c459f29e79b28f5,39), (5a4fb89b7c459f29e79b27d8,34)])
(1515243600000,[(5a4fc38a7c459f29e79b2800,75), (5a4fc7717c459f29e79b280d,62), (5a5027db7c459f29e79b28f5,60)])
(1515247200000,[(5a5027db7c459f29e79b28f5,67), (5a4fc7717c459f29e79b280d,66), (5a4fc38a7c459f29e79b2800,58)])
(1515250800000,[(5a4fc7717c459f29e79b280d,88), (5a5027db7c459f29e79b28f5,66), (5a4fc38a7c459f29e79b2800,63)])
(1515254400000,[(5a4fc7717c459f29e79b280d,76), (5a4fd95d7c459f29e79b2846,39), (5a4fc38a7c459f29e79b2800,14)])
(1515258000000,[(5a4fc7717c459f29e79b280d,65), (5a4fd95d7c459f29e79b2846,35), (5a509e447c459f29e79b2955,24)])
(1515261600000,[(5a4fc7717c459f29e79b280d,50), (5a4fd95d7c459f29e79b2846,32), (5a509e447c459f29e79b2955,21)])
(1515265200000,[(5a4fc7717c459f29e79b280d,46), (5a509e447c459f29e79b2955,28), (5a4fd95d7c459f29e79b2846,23)])
(1515268800000,[(5a4fc7717c459f29e79b280d,20), (5a509e447c459f29e79b2955,13), (5a4fd95d7c459f29e79b2846,8)])
(1515272400000,[(5a4fc7717c459f29e79b280d,17), (5a509e447c459f29e79b2955,11), (5a4e77997c459f29e79b2477,4)])
(1515276000000,[(5a4fc7717c459f29e79b280d,10), (5a509e447c459f29e79b2955,9), (5a4eb8c17c459f29e79b25b9,7)])
(1515279600000,[(5a4a14c97c459f246b63d6c9,9), (5a4fc7717c459f29e79b280d,9), (5a4fd95d7c459f29e79b2846,7)])
(1515283200000,[(5a509e447c459f29e79b2955,9), (5a4fc7717c459f29e79b280d,4), (5a4fd95d7c459f29e79b2846,4)])
(1515286800000,[(5a4fd95d7c459f29e79b2846,6), (5a509e447c459f29e79b2955,6), (5a4e75cc7c459f29e79b20ec,5)])
(1515290400000,[(5a4fbff77c459f29e79b27eb,3), (5a4fd95d7c459f29e79b2846,3), (5a509e447c459f29e79b2955,2)])
(1515294000000,[(5a4fd95d7c459f29e79b2846,3), (5a509e447c459f29e79b2955,3), (5a4f4d037c459f29e79b26c8,2)])
(1515297600000,[(5a4f84fe7c459f29e79b2747,5), (5a4fd95d7c459f29e79b2846,3), (5a509e447c459f29e79b2955,2)])
(1515301200000,[(5a509e447c459f29e79b2955,9), (5a4a14c97c459f246b63d6c9,4), (5a4e77067c459f29e79b22f7,3)])
(1515304800000,[(5a4f84fe7c459f29e79b2747,2), (5a4a14c97c459f246b63d6c9,2), (5a4fbff77c459f29e79b27eb,1)])
(1515308400000,[(5a4f53cc7c459f29e79b26df,6), (5a51550a7c459f29e79b2a30,1), (5a5100997c459f29e79b29bf,1)])
(1515312000000,[(5a51550a7c459f29e79b2a30,3), (5a4f4d037c459f29e79b26c8,3), (5a4fd95d7c459f29e79b2846,3)])
(1515315600000,[(5a4f4d037c459f29e79b26c8,4), (5a4f4d027c459f29e79b26c3,1), (5a51550a7c459f29e79b2a30,1)])
(1515319200000,[(5a4f84fe7c459f29e79b2747,5), (5a4f57407c459f29e79b26e9,3), (5a4fd95d7c459f29e79b2846,2)])
(1515322800000,[(5a51550a7c459f29e79b2a30,7), (5a4f57407c459f29e79b26e9,2), (5a4e77ce7c459f29e79b24df,2)])
(1515326400000,[(5a4fd95d7c459f29e79b2846,8), (5a51550a7c459f29e79b2a30,4), (5a4e75be7c459f29e79b20c2,4)])
(1515330000000,[(5a51550a7c459f29e79b2a30,11), (5a4e77587c459f29e79b23c8,8), (5a4f57407c459f29e79b26e9,6)])
(1515333600000,[(5a51d35e7c459f29e79b2a9c,82), (5a4fc6417c459f29e79b2809,11), (5a4f57407c459f29e79b26e9,10)])
(1515337200000,[(5a51d35e7c459f29e79b2a9c,110), (5a4f57407c459f29e79b26e9,14), (5a51550a7c459f29e79b2a30,13)])
(1515340800000,[(5a51d35e7c459f29e79b2a9c,115), (5a51550a7c459f29e79b2a30,16), (5a4f57407c459f29e79b26e9,9)])
(1515344400000,[(5a51d35e7c459f29e79b2a9c,111), (5a4f57407c459f29e79b26e9,13), (5a51550a7c459f29e79b2a30,12)])
(1515348000000,[(5a51d35e7c459f29e79b2a9c,80), (5a4fc6417c459f29e79b2809,10), (5a4fd95d7c459f29e79b2846,6)])
(1515351600000,[(5a51d35e7c459f29e79b2a9c,55), (5a51550a7c459f29e79b2a30,8), (5a4fd95d7c459f29e79b2846,6)])
(1515355200000,[(5a51d35e7c459f29e79b2a9c,68), (5a51550a7c459f29e79b2a30,9), (5a4e75be7c459f29e79b20c2,6)])
(1515358800000,[(5a51d35e7c459f29e79b2a9c,60), (5a527d867c459f29e79b2b5b,6), (5a4fc6417c459f29e79b2809,5)])
(1515362400000,[(5a51d35e7c459f29e79b2a9c,61), (5a527d867c459f29e79b2b5b,18), (5a51550a7c459f29e79b2a30,6)])
(1515366000000,[(5a51d35e7c459f29e79b2a9c,80), (5a51550a7c459f29e79b2a30,8), (5a502b057c459f29e79b28f8,8)])
(1515369600000,[(5a51d35e7c459f29e79b2a9c,17), (5a4e76567c459f29e79b21bb,16), (5a52a6757c459f29e79b2ba2,9)])
